configuration_id,method_id,fold_id,coverage_level,empirical_coverage,absolute_coverage_error,mean_interval_width_kwh,normalized_mean_interval_width,interval_score,peak_state_coverage,peak_state_mean_interval_width_kwh,peak_state_interval_score,origin_count,peak_origin_count
aci_672_0p005,adaptive_absolute_conformal,3,0.95,0.9486007995431183,0.0013992004568816885,18.896346535224236,0.38290469169653973,33.59679567851555,0.56,33.35611072331794,353.96327475891087,1751,25
aci_672_0p005,adaptive_absolute_conformal,4,0.8,0.7949743003997716,0.005025699600228473,13.328764207026744,0.2783785339813439,35.85736724264373,0.292817679558011,15.865414843771287,122.72194836542472,1751,181
aci_672_0p005,adaptive_absolute_conformal,4,0.9,0.8966304968589377,0.0033695031410623244,24.315635240203335,0.5078453475397522,47.87344305502292,0.5524861878453039,33.18451945063507,154.69840409440562,1751,181
aci_672_0p005,adaptive_absolute_conformal,4,0.95,0.9457452884066248,0.0042547115933752044,36.911070967144084,0.7709079149361756,58.907875203677946,0.7569060773480663,53.56830038352369,182.74306637627598,1751,181
aci_672_0p01,adaptive_absolute_conformal,1,0.8,0.8126784694460308,0.012678469446030793,14.755285501332315,0.2948256256822482,34.29835392807295,0.391304347826087,24.283531247303067,115.73179533678751,1751,184
aci_672_0p01,adaptive_absolute_conformal,1,0.9,0.9097658480868075,0.009765848086807472,25.05896546848097,0.5007036409107541,44.182970945177544,0.625,40.40493276151955,142.5041360772773,1751,184
aci_672_0p01,adaptive_absolute_conformal,1,0.95,0.9571673329525985,0.007167332952598526,35.4006077856141,0.7073401825388701,54.62051906448637,0.7934782608695652,54.33350706070324,168.0971695494152,1751,184
aci_672_0p01,adaptive_absolute_conformal,2,0.8,0.797829811536265,0.0021701884637350677,11.742665204849873,0.23525323459581032,31.338666910122292,0.2916666666666667,16.47657778142854,130.32959600877788,1751,120
aci_672_0p01,adaptive_absolute_conformal,2,0.9,0.8972015990862364,0.002798400913763599,21.811596667593317,0.43697479049570903,41.11027402559458,0.5666666666666667,36.07191603967817,161.22011892680004,1751,120
aci_672_0p01,adaptive_absolute_conformal,2,0.95,0.9468874928612222,0.0031125071387777536,33.75736342954562,0.6762969734457702,49.77594441125304,0.75,60.445104988380955,174.49586491618132,1751,120
aci_672_0p01,adaptive_absolute_conformal,3,0.8,0.7961165048543689,0.003883495145631133,6.528364611667117,0.13228702353935393,17.13788899064995,0.08,9.074523427488314,167.70951671904143,1751,25
aci_672_0p01,adaptive_absolute_conformal,3,0.9,0.8994860079954312,0.0005139920045688084,12.222399036401935,0.24766766031209594,24.168698500465922,0.24,20.821450187191612,247.47113381397065,1751,25
aci_672_0p01,adaptive_absolute_conformal,3,0.95,0.9497430039977156,0.0002569960022843487,18.97671194357408,0.38453317008255483,32.29427075545336,0.64,37.04969199490065,337.58474615168626,1751,25
aci_672_0p01,adaptive_absolute_conformal,4,0.8,0.7955454026270703,0.004454597372929747,12.754685347219414,0.26638858285754835,35.43708575259887,0.281767955801105,15.536431865221063,125.37141650977085,1751,181
aci_672_0p01,adaptive_absolute_conformal,4,0.9,0.8966304968589377,0.0033695031410623244,24.07469665937354,0.5028132134372085,47.3233843732162,0.56353591160221,34.38474408740506,157.9096730036899,1751,181
aci_672_0p01,adaptive_absolute_conformal,4,0.95,0.9474585950885208,0.0025414049114791393,35.9729503959103,0.7513147534651275,59.01654841334828,0.7624309392265194,56.317669507036264,186.86613109457397,1751,181
aci_672_0p02,adaptive_absolute_conformal,1,0.8,0.8132495716733296,0.013249571673329519,14.303045345599969,0.2857894069753728,33.0337398696085,0.42934782608695654,26.824964782319125,113.930774685032,1751,184
aci_672_0p02,adaptive_absolute_conformal,1,0.9,0.9074814391776128,0.007481439177612792,23.59594185822019,0.47147093977162075,43.820215018595114,0.6467391304347826,42.82774628965026,147.13069656938993,1751,184
aci_672_0p02,adaptive_absolute_conformal,1,0.95,0.9543118218161051,0.004311821816105121,34.93429096166402,0.6980226976704934,54.5717868736136,0.7771739130434783,57.80060264490189,165.38640892416558,1751,184
aci_672_0p02,adaptive_absolute_conformal,2,0.8,0.799543118218161,0.0004568817818390025,12.080324075376254,0.24201791195785344,31.014173484362395,0.3416666666666667,19.452717786963937,125.09340610677626,1751,120
aci_672_0p02,adaptive_absolute_conformal,2,0.9,0.8977727013135351,0.0022272986864648736,22.319109370790898,0.44714232937575676,41.13741929302315,0.6083333333333333,40.827275891528856,160.61738352731422,1751,120
aci_672_0p02,adaptive_absolute_conformal,2,0.95,0.9463163906339235,0.003683609366076479,32.51591450709358,0.6514257138554259,49.820662463789695,0.775,67.35674078815673,182.06055799781578,1751,120
aci_672_0p02,adaptive_absolute_conformal,3,0.8,0.8018275271273558,0.001827527127355788,6.751911751324434,0.13681685413018105,16.056733866297,0.32,24.291616120092048,143.35695170831616,1751,25
aci_672_0p02,adaptive_absolute_conformal,3,0.9,0.8989149057681325,0.0010850942318675338,11.872568489568375,0.24057889543198327,22.866714336597067,0.44,32.702257301530054,216.52060548130092,1751,25
aci_672_0p02,adaptive_absolute_conformal,3,0.95,0.9497430039977156,0.0002569960022843487,18.16487954556929,0.36808266556371405,29.841867064957434,0.76,54.90563659168995,261.6933991723545,1751,25
aci_672_0p02,adaptive_absolute_conformal,4,0.8,0.8001142204454598,0.00011422044545972287,13.99724923629078,0.29234020961342483,34.24633775315301,0.39226519337016574,21.66667215176626,118.02290727534965,1751,181
aci_672_0p02,adaptive_absolute_conformal,4,0.9,0.8972015990862364,0.002798400913763599,24.50060232478018,0.5117084863153756,46.41230022671945,0.585635359116022,44.38116928263019,162.37419195107228,1751,181
aci_672_0p02,adaptive_absolute_conformal,4,0.95,0.9474585950885208,0.0025414049114791393,36.620857043284666,0.7648466383309246,58.667624003780425,0.7513812154696132,64.66449558496343,194.08167605938206,1751,181
expanding_all,expanding_absolute_conformal,1,0.8,0.7766990291262136,0.023300970873786464,11.037498824598728,0.2205404630520751,37.33250893134666,0.22282608695652173,12.555002915442959,136.2566122622222,1751,184
expanding_all,expanding_absolute_conformal,1,0.9,0.8800685322672759,0.01993146773272414,21.690030032012103,0.43338888120309915,49.57029058527326,0.46195652173913043,27.527817973990484,177.93040152540937,1751,184
expanding_all,expanding_absolute_conformal,1,0.95,0.934323243860651,0.015676756139348935,32.23070239646407,0.6440022457957754,60.9887657478174,0.6521739130434783,42.747053658227,209.66180805107905,1751,184
expanding_all,expanding_absolute_conformal,2,0.8,0.7806967447173044,0.01930325528269561,10.340972020762573,0.20717163218997442,32.20597262065742,0.23333333333333334,12.011274978008371,141.3828977198269,1751,120
expanding_all,expanding_absolute_conformal,2,0.9,0.9046259280411194,0.004625928041119387,21.041443466532197,0.4215454966749914,42.77386846605245,0.48333333333333334,26.62510827080405,192.3350016460524,1751,120
expanding_all,expanding_absolute_conformal,2,0.95,0.9520274129069103,0.002027412906910331,33.04286323128439,0.661982635105367,53.686781776747345,0.6166666666666667,43.25741717678035,223.20842048967813,1751,120
expanding_all,expanding_absolute_conformal,3,0.8,0.8629354654483152,0.06293546544831519,9.681383174204846,0.19617797718753488,18.899760255643578,0.16,12.102084198143206,158.85644673195463,1751,25
expanding_all,expanding_absolute_conformal,3,0.9,0.9480296973158195,0.04802969731581952,16.82046977027534,0.340840319559784,25.278150842365076,0.36,23.54960750015523,230.8144753821121,1751,25
expanding_all,expanding_absolute_conformal,3,0.95,0.9845802398629354,0.03458023986293546,25.944936708749992,0.5257332666413372,33.5315608580443,0.68,38.45515036776228,317.7414180817553,1751,25
expanding_all,expanding_absolute_conformal,4,0.8,0.75214163335237,0.04785836664762999,9.663255556744783,0.2018223800489721,37.71537427065264,0.2265193370165746,10.847296504387126,134.7955560602466,1751,181
expanding_all,expanding_absolute_conformal,4,0.9,0.8583666476299258,0.04163335237007426,18.256168785270784,0.3812900748803422,51.533263822930074,0.44751381215469616,22.792470656713306,189.2932321395504,1751,181
expanding_all,expanding_absolute_conformal,4,0.95,0.9206167904054826,0.029383209594517345,27.334066208484355,0.5708869300017618,66.87899450311906,0.6132596685082873,35.522008264321165,251.41044419147192,1751,181
rolling_2688,rolling_absolute_conformal,1,0.8,0.7749857224443175,0.02501427755568253,10.809643824492706,0.21598768818607736,37.34666556266882,0.22282608695652173,12.377808791145986,136.75076967855082,1751,184
rolling_2688,rolling_absolute_conformal,1,0.9,0.881781838949172,0.018218161050828074,21.945314102983705,0.43848971682868687,49.64593427597525,0.46195652173913043,27.562346598047725,177.7331211970125,1751,184
rolling_2688,rolling_absolute_conformal,1,0.95,0.9348943460879497,0.01510565391205021,32.51060937712727,0.6495950722239326,61.20501158208672,0.657608695652174,42.633768330490895,209.41936071389722,1751,184
rolling_2688,rolling_absolute_conformal,2,0.8,0.7921187892632782,0.007881210736721878,10.950916649122853,0.219391298189379,31.851568523760957,0.25,13.154817203519956,138.40883813426532,1751,120
rolling_2688,rolling_absolute_conformal,2,0.9,0.905197030268418,0.005197030268418001,21.00698676508562,0.4208551891232219,42.840599100019766,0.475,26.50455924079403,195.16063675694642,1751,120
rolling_2688,rolling_absolute_conformal,2,0.95,0.952598515134209,0.0025985151342090562,32.75182313034464,0.6561519208723758,54.74332525067086,0.6166666666666667,42.01562585749528,234.88251693621672,1751,120
rolling_2688,rolling_absolute_conformal,3,0.8,0.8623643632210166,0.06236436322101657,9.679746163993784,0.1961448057546866,18.98859968686794,0.16,11.974532362960872,159.22361255308388,1751,25
rolling_2688,rolling_absolute_conformal,3,0.9,0.9463163906339235,0.046316390633923454,16.63334800640119,0.33704859182170593,25.325409605378027,0.36,22.865599180638313,233.82754590995825,1751,25
rolling_2688,rolling_absolute_conformal,3,0.95,0.981724728726442,0.03172472872644205,25.63814688844058,0.5195166542743785,33.47536718285891,0.64,37.27349432317381,317.3872391012714,1751,25
rolling_2688,rolling_absolute_conformal,4,0.8,0.7264420331239292,0.07355796687607086,8.567364829655972,0.17893410254085157,38.63688980983194,0.17679558011049723,9.252114509213841,139.6760083323062,1751,181
rolling_2688,rolling_absolute_conformal,4,0.9,0.8435179897201599,0.05648201027984012,16.629892725945403,0.34732440948089816,53.47686629635274,0.3867403314917127,20.245000277679015,201.5767194697769,1751,181
rolling_2688,rolling_absolute_conformal,4,0.95,0.9166190748143918,0.0333809251856082,25.117218831268534,0.5245868594667614,70.46873465515108,0.6022099447513812,31.736944351621858,276.92355711097196,1751,181
rolling_672,rolling_absolute_conformal,1,0.8,0.805254140491148,0.005254140491147918,13.549633621617058,0.2707354737322955,36.21150637177121,0.29891304347826086,16.967215981305976,125.77289126541201,1751,184
rolling_672,rolling_absolute_conformal,1,0.9,0.912621359223301,0.012621359223300987,25.75999632681275,0.514710951132679,47.13302938572994,0.5869565217391305,35.83878091139584,153.8547391969558,1751,184
rolling_672,rolling_absolute_conformal,1,0.95,0.9577384351798972,0.007738435179897252,37.48897428619324,0.7490678712461809,57.473461742471045,0.7771739130434783,53.5805625725279,178.0976080336583,1751,184
rolling_672,rolling_absolute_conformal,2,0.8,0.7681324957167333,0.03186750428326679,10.322517857720994,0.20680192041913242,32.0288008042205,0.23333333333333334,13.8801392480078,136.0592813854984,1751,120
rolling_672,rolling_absolute_conformal,2,0.9,0.874357509994289,0.02564249000571106,18.199991364953515,0.3646196807563561,42.8781283246709,0.4666666666666667,26.93363773939591,189.48827125341305,1751,120
rolling_672,rolling_absolute_conformal,2,0.95,0.9286122215876642,0.021387778412335745,26.749533823386248,0.5359017093736602,52.932266864382356,0.6416666666666667,41.71915069899145,226.34139145984784,1751,120
rolling_672,rolling_absolute_conformal,3,0.8,0.8280982295830954,0.02809822958309538,7.468765546126748,0.15134276689213266,18.793488429281243,0.16,12.545092802797523,157.9270993745011,1751,25
rolling_672,rolling_absolute_conformal,3,0.9,0.9103369503141062,0.010336950314106197,14.782156058738725,0.2995371035205415,27.40578775170049,0.48,26.40684952758172,228.12818104018723,1751,25
rolling_672,rolling_absolute_conformal,3,0.95,0.9588806396344945,0.008880639634494591,23.796401741956718,0.48219659051584024,35.41742407308881,0.68,47.06997154265111,318.0362636369963,1751,25
rolling_672,rolling_absolute_conformal,4,0.8,0.7709880068532268,0.029011993146773274,11.506116543174366,0.24031154016654901,36.65005891669667,0.27071823204419887,13.993926677364318,126.39557124770761,1751,181
rolling_672,rolling_absolute_conformal,4,0.9,0.8783552255853798,0.021644774414620205,20.783489537945428,0.4340745517532462,49.78861627758844,0.49171270718232046,27.262484476139484,173.29284418084873,1751,181
rolling_672,rolling_absolute_conformal,4,0.95,0.9280411193603655,0.02195888063963447,30.992663363159746,0.6472987335664108,62.757566208577224,0.6685082872928176,42.265103528245334,210.9265938535285,1751,181
